K,Componente,label
2,1,Primary products
2,2,"Vehicles, electrical, parts and components*"
4,1,Fuels and minerals
4,2,"Vehicles, electrical, parts and components*"
4,3,"Fuels, minerals and primary products"
4,4,Primary products and textiles
6,1,fuels
6,2,"Vehicles, electrical, parts and components*"
6,3,"Fuels, minerals and primary products"
6,4,Primary products and textiles
6,5,Primary (meat & soya) and mineral extraction products
6,6,"
Minerals and primary products"
8,1,Electronics & parts and components and processed primary products
8,2,"Vehicles, electrical, parts and components*"
8,3,Processed and fresh fish and crustaceans and minerals
8,4,Textiles and primary extraction products
8,5,Fuels
8,6,Res.-based manuf. (other)
8,7,Prim. prods. & res.-based manuf (other)
8,8,Prim. prods. & res.-based manuf.
10,1,Fuels
10,2,"Vehicles, electrical, parts and components*"
10,3,"Minerals, fuels and primary extraction products (fish)"
10,4,Textiles
10,5,Primary and mineral extraction products
10,6,"Fuels, minerals and primary products"
10,7,Minerals and primary products
10,8,Prim.prods.
10,9,Minerals
10,10,Prim. prods.(agro)
20,1,Processed and fresh fish
20,2,"Vehicles, electrical, parts and components*"
20,3,Minerals (gold & aluminium)
20,4,Prim.prods.
20,5,Mollusks and processed fish
20,6,Minerals and primary products
20,7,Res.-based manuf. & prim.prods.
20,8,vessels & alumina
20,9,"Minerals and primary products (diamonds, uranium & cocoa)"
20,10,Prim.prods.(agro)
20,11,petroleum
20,12,Fuels
20,13,cotton
20,14,Res.-based manuf. & prim.prods.
20,15,Prim.prods. & res-based manuf.(other)
20,16,"Minerals, primary extraction products and electric power (copper & gold)"
20,17,Prim.prods. & res-based manuf.(agro)
20,18,Prim.prods. & textiles
20,19,Productos de extracción primaria y alambres (soya & wires)
20,20,Textile clothing and footwear
30,1,Fuels (crude petroleum)
30,2,"Vehicles, Appliances, their parts and components*"
30,3,Res.-based manuf.(other)
30,4,Textile confections
30,5,Primary and processed products (soya)
30,6,Minerals and primary products
30,7,"Res.-based manuf.(agro, wood)"
30,8,"Ships, vessels and prim.prods."
30,9,Prim.prods.
30,10,Prim.prods. (coffee)
30,11,Fuels
30,12,Res.-based manuf (non-agric)
30,13,Prim.prods. (cotton and cocoa)
30,14,Minerals (diamonds and nickel)
30,15,Textiles & primary prods.
30,16,Primary products
30,17,Fuels and primary products
30,18,Prim.prods.
30,19,Engineering
30,20,Primary extraction products
30,21,Processed and fresh fish
30,22,Res.-based manuf.(other)
30,23,"Minerals and primary products (gold, aluminium)"
30,24,Prim. prods. & res.-based manuf.(other)
30,25,Textiles & res.-based manuf.(agro)
30,26,Minerales and electric energy (copper)
30,27,Res.-based manuf.(other)
30,28,Crustaceans and processed and fresh fish and primary products
30,29,Processed hydrocarbons and minerals (alcohol)
30,30,"Appliances, their parts and components"
40,1,Meat and vegetables (fresh and processed)
40,2,"Vehicles, electrical, parts and components*"
40,3,Process (med-tech)
40,4,Textile confections
40,5,Petroleum oils or bituminous minerals
40,6,Minerals and primary products (uranium & spices)
40,7,"Metals, fuels and primary extraction products"
40,8,Electric microcircuits
40,9,Prim.prods.(cocoa)
40,10,"Prim.prods.(coffee, bananas)"
40,11,"Electrical machinery, parts and components"
40,12,"Metals, minerals and crude petroleum"
40,13,Textile confections and primary products
40,14,Res.-based manuf.(agro) & prim.prods. (sugars)
40,15,"Paper, wood and metals"
40,16,Soya beens and oils
40,17,Footwear and textile confections
40,18,Res.-based manuf.(other) and textiles
40,19,"Crustaceans, fish and wires"
40,20,"Primary products (coffee, bananas, sugar)"
40,21,Prim.prods.&res.-based manuf.(agro) (fish fresh and processed)
40,22,Prim.prods.&res.-based manuf.
40,23,Gold and cotton
40,24,Diamonds and metals
40,25,Food and beverages
40,26,Copper ores and products
40,27,Fish (fresh and processed)
40,28,Spirits and cigarretes
40,29,Copper ores and products
40,30,Textile confections and precious stones
40,31,Animal and vegetable products
40,32,Animal and vegetable products
40,33,Textiles & prim.prods.
40,34,Animal and vegetable products
40,35,Animal and vegetable products
40,36,Prim.prods. and minerals
40,37,Petroleum and gas
40,38,Alluminium and fish
40,39,Carpets
40,40,Alcohol and aluminium
100,1,no_name
100,2,no_name
100,3,no_name
100,4,no_name
100,5,no_name
100,6,no_name
100,7,no_name
100,8,no_name
100,9,no_name
100,10,no_name
100,11,no_name
100,12,no_name
100,13,no_name
100,14,no_name
100,15,no_name
100,16,no_name
100,17,no_name
100,18,no_name
100,19,no_name
100,20,no_name
100,21,no_name
100,22,no_name
100,23,no_name
100,24,no_name
100,25,no_name
100,26,no_name
100,27,no_name
100,28,no_name
100,29,no_name
100,30,no_name
100,31,no_name
100,32,no_name
100,33,no_name
100,34,no_name
100,35,no_name
100,36,no_name
100,37,no_name
100,38,no_name
100,39,no_name
100,40,no_name
100,41,no_name
100,42,no_name
100,43,no_name
100,44,no_name
100,45,no_name
100,46,no_name
100,47,no_name
100,48,no_name
100,49,no_name
100,50,no_name
100,51,no_name
100,52,no_name
100,53,no_name
100,54,no_name
100,55,no_name
100,56,no_name
100,57,no_name
100,58,no_name
100,59,no_name
100,60,no_name
100,61,no_name
100,62,no_name
100,63,no_name
100,64,no_name
100,65,no_name
100,66,no_name
100,67,no_name
100,68,no_name
100,69,no_name
100,70,no_name
100,71,no_name
100,72,no_name
100,73,no_name
100,74,no_name
100,75,no_name
100,76,no_name
100,77,no_name
100,78,no_name
100,79,no_name
100,80,no_name
100,81,no_name
100,82,no_name
100,83,no_name
100,84,no_name
100,85,no_name
100,86,no_name
100,87,no_name
100,88,no_name
100,89,no_name
100,90,no_name
100,91,no_name
100,92,no_name
100,93,no_name
100,94,no_name
100,95,no_name
100,96,no_name
100,97,no_name
100,98,no_name
100,99,no_name
100,100,no_name
200,1,no_name
200,2,no_name
200,3,no_name
200,4,no_name
200,5,no_name
200,6,no_name
200,7,no_name
200,8,no_name
200,9,no_name
200,10,no_name
200,11,no_name
200,12,no_name
200,13,no_name
200,14,no_name
200,15,no_name
200,16,no_name
200,17,no_name
200,18,no_name
200,19,no_name
200,20,no_name
200,21,no_name
200,22,no_name
200,23,no_name
200,24,no_name
200,25,no_name
200,26,no_name
200,27,no_name
200,28,no_name
200,29,no_name
200,30,no_name
200,31,no_name
200,32,no_name
200,33,no_name
200,34,no_name
200,35,no_name
200,36,no_name
200,37,no_name
200,38,no_name
200,39,no_name
200,40,no_name
200,41,no_name
200,42,no_name
200,43,no_name
200,44,no_name
200,45,no_name
200,46,no_name
200,47,no_name
200,48,no_name
200,49,no_name
200,50,no_name
200,51,no_name
200,52,no_name
200,53,no_name
200,54,no_name
200,55,no_name
200,56,no_name
200,57,no_name
200,58,no_name
200,59,no_name
200,60,no_name
200,61,no_name
200,62,no_name
200,63,no_name
200,64,no_name
200,65,no_name
200,66,no_name
200,67,no_name
200,68,no_name
200,69,no_name
200,70,no_name
200,71,no_name
200,72,no_name
200,73,no_name
200,74,no_name
200,75,no_name
200,76,no_name
200,77,no_name
200,78,no_name
200,79,no_name
200,80,no_name
200,81,no_name
200,82,no_name
200,83,no_name
200,84,no_name
200,85,no_name
200,86,no_name
200,87,no_name
200,88,no_name
200,89,no_name
200,90,no_name
200,91,no_name
200,92,no_name
200,93,no_name
200,94,no_name
200,95,no_name
200,96,no_name
200,97,no_name
200,98,no_name
200,99,no_name
200,100,no_name
200,101,no_name
200,102,no_name
200,103,no_name
200,104,no_name
200,105,no_name
200,106,no_name
200,107,no_name
200,108,no_name
200,109,no_name
200,110,no_name
200,111,no_name
200,112,no_name
200,113,no_name
200,114,no_name
200,115,no_name
200,116,no_name
200,117,no_name
200,118,no_name
200,119,no_name
200,120,no_name
200,121,no_name
200,122,no_name
200,123,no_name
200,124,no_name
200,125,no_name
200,126,no_name
200,127,no_name
200,128,no_name
200,129,no_name
200,130,no_name
200,131,no_name
200,132,no_name
200,133,no_name
200,134,no_name
200,135,no_name
200,136,no_name
200,137,no_name
200,138,no_name
200,139,no_name
200,140,no_name
200,141,no_name
200,142,no_name
200,143,no_name
200,144,no_name
200,145,no_name
200,146,no_name
200,147,no_name
200,148,no_name
200,149,no_name
200,150,no_name
200,151,no_name
200,152,no_name
200,153,no_name
200,154,no_name
200,155,no_name
200,156,no_name
200,157,no_name
200,158,no_name
200,159,no_name
200,160,no_name
200,161,no_name
200,162,no_name
200,163,no_name
200,164,no_name
200,165,no_name
200,166,no_name
200,167,no_name
200,168,no_name
200,169,no_name
200,170,no_name
200,171,no_name
200,172,no_name
200,173,no_name
200,174,no_name
200,175,no_name
200,176,no_name
200,177,no_name
200,178,no_name
200,179,no_name
200,180,no_name
200,181,no_name
200,182,no_name
200,183,no_name
200,184,no_name
200,185,no_name
200,186,no_name
200,187,no_name
200,188,no_name
200,189,no_name
200,190,no_name
200,191,no_name
200,192,no_name
200,193,no_name
200,194,no_name
200,195,no_name
200,196,no_name
200,197,no_name
200,198,no_name
200,199,no_name
200,200,no_name
